Element;Atomic radius (pm);Electronegativity;Atomization enthalpy;Bond dissociation energy;Born exponent
Ni(IV);138.1;3.270;430.1;145.6;9
Ni(V);138.1;3.810;430.1;145.6;9
Cu(I);133.6;1.980;338.9;147.7;9
Cu(II);133.6;1.980;338.9;147.7;9
Zn;129.2;2.223;129.7;149.8;9
Ga(I);125.6;0.860;277.0;168.6;9
Ga(III);125.6;2.419;277.0;168.6;9
Ge;122.3;2.618;376.6;187.4;9
As(3);119.4;2.816;302.5;206.3;9
As(2);119.4;2.816;302.5;188.7;9
As(1);119.4;2.816;302.5;171.1;9
Se(3);116.7;3.014;205.9;225.1;10
Se(2);116.7;3.014;205.9;192.5;10
Se(1);116.7;3.014;205.9;159.8;10
Br(3);114.2;3.219;111.7;243.9;10
Br(2);114.2;3.219;111.7;218.4;10
Br(1);114.2;3.219;111.7;192.9;10
Kr;112.0;3.398;0;0;10
Rb;216.0;0.312;82.0;51.9;10
Sr;191.0;0.721;163.2;102.9;10
Y(II);186.8;0.400;424.7;105.0;10
Y(III);186.8;0.650;424.7;105.0;10
Zr(II);182.6;0.520;608.8;107.5;10
Zr(III);182.6;0.790;608.8;107.5;10
Zr(IV);182.6;0.900;608.8;107.5;10
Nb(II);178.4;0.770;721.3;110.0;10
Nb(III);178.4;1.020;721.3;110.0;10
Nb(IV);178.4;1.250;721.3;110.0;10
Nb(V);178.4;1.420;721.3;110.0;10
Mo(II);174.2;0.900;658.1;112.5;10
Mo(III);174.2;1.150;658.1;112.5;10
Mo(IV);174.2;1.400;658.1;112.5;10
Mo(V);174.2;1.730;658.1;112.5;10
Mo(VI);174.2;2.200;658.1;112.5;10
Tc(VII);170.2;1.51;678.0;111.6;10
Ru(II);166.1;2.21;650.5;113.0;10
Ru(III);166.1;2.54;650.5;113.0;10
Ru(IV);166.1;2.66;650.5;113.0;10
Ru(V);166.1;2.88;650.5;113.0;10
Ru(VI);166.1;3.64;650.5;113.0;10
Ru(VIII);166.1;3.88;650.5;113.0;10
Rh(II);162.0;1.94;557.0;114.5;10
Rh(III);162.0;1.88;557.0;114.5;10
Rh(IV);162.0;2.11;557.0;114.5;10
Pd(II);157.8;2.68;376.6;115.9;10
Ag(I);153.3;1.826;284.5;115.9;10
Ag(II);153.3;3.48;284.5;115.9;10
Cd;149.3;1.978;113.0;127.2;10
In(I);145.5;0.710;189.1;138.5;10
In(III);145.5;2.138;189.1;138.5;10
Sn(II);142.0;1.490;302.1;149.8;10
Sn(IV);142.0;2.298;302.1;149.8;10
Sb(3);138.9;2.458;262.3;161.1;10
Sb(2);138.9;2.458;262.3;149.8;10
Sb(1);138.9;2.458;262.3;138.1;10
Te(3);136.0;2.618;190.4;172.4;12
Te(2);136.0;2.618;190.4;164.0;12
Te(1);136.0;2.618;190.4;155.6;12
I(3);133.3;2.778;106.7;183.7;12
I(2);133.3;2.778;106.7;167.4;12
I(1);133.3;2.778;106.7;151.0;12
Xe;131.0;2.918;0;0;12
Cs;235.0;0.220;78.2;45.2;12
Ba;198.0;0.683;175.7;92.9;12
La(II);196.9;0.06;431.0;91.2;12
La(III);196.9;0.57;431.0;91.2;12
Ce(II);195.8;0.05;423.0;89.5;12
Ce(III);195.8;0.60;423.0;89.5;12
Ce(IV);195.8;0.79;423.0;89.5;12
Pr(II);194.6;0.00;356.9;87.7;12
Pr(III);194.6;0.67;356.9;87.7;12
Nd(II);193.5;0.01;326.9;86.0;12
Nd(III);193.5;0.73;326.9;86.0;12
Pm(II);192.4;0.08;330.5;84.3;12
Pm(III);192.4;0.75;330.5;84.3;12
Sm(II);191.3;0.20;206.7;82.6;12
Sm(III);191.3;0.90;206.7;82.6;12
Eu(II);190.1;0.44;177.4;80.8;12
Eu(III);190.1;1.07;177.4;80.8;12
Gd(II);189.0;0.00;397.5;79.1;12
Gd(III);189.0;0.68;397.5;79.1;12
Tb(II);187.9;0.00;388.7;77.4;12
Tb(III);187.9;0.45;388.7;77.4;12
Dy(II);186.8;0.23;290.4;75.7;12
Dy(III);186.8;0.81;290.4;75.7;12
Ho(II);185.6;0.14;300.6;73.9;12
Ho(III);185.6;0.81;300.6;73.9;12
Er(II);184.5;0.32;317.2;72.2;12
Er(III);184.5;0.80;317.2;72.2;12
Tm(II);183.4;0.57;232.2;70.5;12
Tm(III);183.4;0.94;232.2;70.5;12
Yb(II);182.3;0.84;152.1;68.8;12
Yb(III);182.3;1.10;152.1;68.8;12
Lu(II);181.1;0.01;427.6;67.0;12
Lu(III);181.1;0.70;427.6;67.0;12
Hf(II);180.0;0.310;618.4;65.3;12
Hf(III);180.0;0.560;618.4;65.3;12
Hf(IV);180.0;0.810;618.4;65.3;12
Ta(II);176.0;0.440;782.0;61.5;12
Ta(III);176.0;0.690;782.0;61.5;12
Ta(IV);176.0;0.940;782.0;61.5;12
Ta(V);176.0;1.170;782.0;61.5;12
W(II);173.0;0.730;849.8;57.7;12
W(III);173.0;0.980;849.8;57.7;12
W(IV);173.0;1.230;849.8;57.7;12
W(V);173.0;1.480;849.8;57.7;12
W(VI);173.0;1.670;849.8;57.7;12
Re(III);168.8;0.59;774.0;54.2;12
Re(V);168.8;1.17;774.0;54.2;12
Re(VI);168.8;2.08;774.0;54.2;12
Re(VII);168.8;1.18;774.0;54.2;12
Os(VI);165.1;2.21;787.0;50.6;12
Os(VIII);165.1;2.56;787.0;50.6;12
Ir(II);161.3;1.65;669.0;46.9;12
Ir(III);161.3;2.09;669.0;46.9;12
Ir(IV);161.3;2.30;669.0;46.9;12
Ir(V);161.3;2.61;669.0;46.9;12
Pt(II);157.6;1.41;565.7;43.3;12
Pt(III);157.6;1.78;565.7;43.3;12
Pt(IV);157.6;2.28;565.7;43.3;12
Pt(VI);157.6;2.92;565.7;43.3;12
Au(I);153.8;0.26;368.2;39.6;12
Au(II);153.8;0.35;368.2;39.6;12
Au(III);153.8;3.00;368.2;39.6;12
Hg(I);150.0;3.61;61.5;36.0;12
Hg(II);150.0;2.195;61.5;36.0;12
Tl(I);149.0;0.990;182.4;69.5;12
Tl(III);149.0;2.246;182.4;69.5;12
Pb(I);148.0;2.23;195.8;101.3;12
Pb(II);148.0;1.920;195.8;101.3;12
Pb(IV);148.0;2.291;195.8;101.3;12
Bi;147.0;2.342;207.1;134.7;12
Th(II);202.4;0.26;575.3;85.0;12
Th(IV);202.4;0.53;575.3;85.0;12
U(I);171.5;0.46;527.0;81.0;12
U(II);171.5;0.84;527.0;81.0;12
U(III);171.5;0.96;527.0;81.0;12
U(IV);171.5;1.00;527.0;81.0;12
U(V);171.5;1.21;527.0;81.0;12
U(VI);171.5;1.47;527.0;81.0;12
Np(III);156.1;0;464.8;79.0;12
Np(IV);156.1;1.23;464.8;79.0;12
Np(VI);156.1;1.88;464.8;79.0;12
Pu(III);140.6;0;364.4;76.0;12
Pu(IV);140.6;1.37;364.4;76.0;12
Pu(VI);140.6;2.33;364.4;76.0;12
