glassy state molar volume;liquid state molar volume;van der Waals molar volume;heat capacity (solid);heat capacity (liquid);cohession energy;Small attraction constant;molar parachor;enthalpy of fusion;entropy of fusion;melting enthalpy;molar refraction (Lorentz-Lorenz);molar refraction (Gladstone-Dale);molar refraction (Vogel);molar polarization;molar magnetic susceptibility;Rao´s function;molar weight
-CFCl-;35.4;33.15;21.57;54.7;68.2;11880;-612;84.8;-224;125;0;9.50;16.3;97.6;13.9;32.1;1.7;66.46251
-CHCl-;29.35;28.25;19.0;42.7;60.75;13410;609;76.2;-51.7;111;0;9.64;16.71;73.8;13.7;27.5;1.6;48.47208
-CCl2-;44.4;41.55;27.8;60.4;87.0;20400;914;113.4;-78;122;0;14.63;25.54;127.0;17.7;44;2.35;82.91711
-CHBr-;39;0;21.4;41.9;0;15920;753;89.9;-16.7;106;0;12.57;22.06;141.9;0;36.5;0;92.92808
-CH=CH-;0;27.75;16.94;37.3;42.8;10200;454;67.0;76;76;2.1;8.88;15.50;40.62;0;13.2;1.4;26.03816
-O- aliph.;10.0;8.5;3.7;16.8;35.6;6290;143;20.0;-120;70;1.7;1.64;2.81;23.18;5.2;5;0.4;15.9994
-O- arom.;10.0;8.5;3.7;16.8;35.6;6290;143;20.0;-120;70;1.7;1.77;2.84;22.6;5.2;5;0.4;15.9994
-O- acetals;10.0;8.5;3.7;16.8;35.6;6290;143;20.0;-120;70;1.7;1.63;2.75;23.18;5.2;5;0.4;15.9994
-O-CH2-O-;35.85;33.45;17.63;58.95;101.6;16770;558;79.0;-262;242;7.2;7.93;13.45;67.0;15.05;21.35;1.68;46.02585
-CO- aliph.;13.4;0;11.7;23.05;52.8;0;563;-48;-132;40;0;4.53;7.91;43.03;-10;6.5;0.9;28.01051
-CO- arom.;13.4;0;11.7;23.05;52.8;0;563;-48;-132;40;0;5.09;8.82;41.9;-10;6.5;0.9;28.01051
-COO- aliph.;23.0;24.6;15.2;-46;65.0;13410;634;64.8;-337;116;-4.2;6.21;10.47;64.20;15;14;1.25;44.00991
-COO- C=C;18.25;21.0;15.2;-46;65.0;13410;634;64.8;-337;116;-4.2;6.21;10.47;64.42;15;14;1.25;44.00991
-COO- arom.;23.0;24.6;15.2;-46;65.0;13410;634;64.8;-337;116;-4.2;6.71;11.31;64.8;15;14;1.25;44.00991
-O-CO-O-;31.4;31.0;18.9;-62;-101;-20000;0;84.8;0;0;0;7.74;13.12;86.8;22;0;1.6;60.00931
-CO-NH-;24.9;0;19.56;-40;90.1;60760;0;-78;-74;160;2.9;7.23;15.15;69.75;30;14;1.7;43.02518
-O-CO-NH-;30.3;0;-23;-56;0;0;0;-94;0;0;0;0;0;0;0;0;2.1;59.02458
-NH-;0;0;8.08;14.25;31.8;0;0;29.6;58;120;0;3.59;6.29;24.30;0;9;0;15.01467
-N<;0;0;4.33;17.1;44.0;0;0;12.5;97;150;0;2.80;5.70;26.66;0;6;0.1;14.0067
=N< arom.;0;0;0;0;0;0;0;0;69;50;0;0;0;0;0;12;0;14.0067
-S-;17.8;15.0;10.8;24.05;44.8;8800;460;48.2;40;-24;0;8.07;14.44;53.33;8;16;0;32.064
-S-S-;35.6;30.0;22.7;48.1;89.6;19600;-920;96.4;46;-28;0;16.17;29.27;107.63;16;-32;0;64.128
-SO2-;0;0;20.3;-50;0;0;0;0;-282;152;0;0;0;0;0;0;1.25;64.0628
-p-C6H10-;87.8;0;53.34;103.2;147.5;0;1410;205.9;-96.4;578;0;25.70;44.00;125.10;0;0;0;82.14636
-o-C6H4-;0;0;43.32;78.8;113.1;25140;1346;172.9;100;180;0;24.72;44.2;129.0;0;50;0;76.09855
-m-C6H4-;0;0;43.32;78.8;113.1;25140;1346;172.9;100;180;0;25.0;44.7;128.6;0;50;0;76.09855
-p-C6H4-;65.5;61.4;43.32;78.8;113.1;25140;1346;172.9;100;180;22.2;25.03;44.8;128.6;25.0;50;4.1;76.09855
-o,p-C6H3-;59.5;0;40.80;71.85;103.2;0;1160;155.8;112.5;192;0;24.4;44.76;133.8;0;48.6;0;75.09058
-p-C6H3CH3-;83.4;0;54.47;102.75;140.1;0;1600;211.9;66.5;287;0;29.9;52.7;149.2;0;63;0;90.1256
-o,o,p-C6H2-;56.3;0;38.28;65.0;93.0;0;-970;138.7;125;204;0;23.85;44.72;139.0;0;46.4;3.35;74.0826
-p-o,o-(CH3)2C6H2-;104.1;0;65.62;126.8;166.8;0;-1850;250.9;33;394;0;34.8;61.0;169.8;0;75;6.15;104.1526
-p-C6H4-CH2-;81.35;77.85;53.55;104.15;143.5;29330;1618;211.9;78;282;26.0;29.53;52.06;147.3;29.65;61;4.98;90.1256
-p-C6H4-CH<;74.95;71.25;50.10;94.4;134.05;25660;1403;194.8;97.3;300;26.0;28.55;51.14;150.0;28.62;59;4.55;89.11763
-p-C6H4-C%;70.10;66.15;46.65;85.0;120.5;19560;1256;172.9;120;320;0;27.32;49.76;153.7;27.58;57;4.15;88.10966
-p-C6H4-NH-;0;0;51.4;93.05;144.9;0;0;202.5;158;300;0;29.56;53.48;155.5;0;59;0;91.11322
-p-C6H4-N<;0;0;47.65;95.9;157.1;0;0;185.4;197;330;0;29.08;53.5;159.3;0;56;4.2;90.10525
-p-C6H4-CO-NH-;90.4;0;62.28;116.8;203.2;85900;0;0;26;340;25.1;33.5;62.9;201.6;55;64;5.8;119.1237
conjug.;0;0;0;0;0;0;0;0;-18;16;0;0;0;0;0;0;0;0
3ring;0;0;0;0;0;0;0;0;100;-122;0;0;0;0;0;0;0;0
4ring;0;0;0;0;0;0;0;0;100;-110;0;0;0;0;0;0;0;0
5ring;0;0;0;0;0;0;0;0;20;-100;0;0;0;0;0;0;0;0
6ring;0;0;0;0;0;0;0;0;-3;-70;0;0;0;0;0;0;0;0
